crop_type,uav_model,flight_height,flight_speed,spray_volume,atomization_diameter,temperature,humidity,wind_speed,predicted_coverage,predicted_droplet_size,predicted_droplet_density,optimality_score
1,3,5.24,3.16,75.91,2,25.7,61.0,0.83,7.093148655186386,250.12264506915892,65.71105962329152,46.674068843952426
1,3,5.24,3.16,80.34,2,25.7,61.0,0.83,7.093148655186386,250.12264506915892,65.71105962329152,46.674068843952426
1,3,5.24,3.16,84.77,2,25.7,61.0,0.83,7.093148655186386,250.12264506915892,65.71105962329152,46.674068843952426
1,3,5.24,3.16,89.2,2,25.7,61.0,0.83,7.477256785638147,252.1037898181949,65.71105962329152,46.62838553929399
1,3,5.24,3.16,75.91,2,25.7,56.9,0.83,7.083885192712855,251.5480564676843,66.1535741783917,46.58689065591265
1,3,5.24,3.16,80.34,2,25.7,56.9,0.83,7.083885192712855,251.5480564676843,66.1535741783917,46.58689065591265
1,3,5.24,3.16,84.77,2,25.7,56.9,0.83,7.083885192712855,251.5480564676843,66.1535741783917,46.58689065591265
1,2,5.24,3.16,75.91,2,25.7,61.0,0.83,7.26167879771754,251.77429102895417,65.71105962329152,46.56013640004257
1,2,5.24,3.16,80.34,2,25.7,61.0,0.83,7.26167879771754,251.77429102895417,65.71105962329152,46.56013640004257
1,2,5.24,3.16,84.77,2,25.7,61.0,0.83,7.26167879771754,251.77429102895417,65.71105962329152,46.56013640004257
